client_name,Company,industry_code,industry_name,Item,Forecasted_Year,Quarter,Forecasted_Revenue,QoQ_growth_L1,QoQ_growth_L2,QoQ_growth_L3,QoQ_growth_L4,QoQ_growth_L5,QoQ_growth_L6,QoQ_growth_L7,QoQ_growth_L8
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013,2012-12-31,3906.7595,,,,,,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013,2013-03-31,3856.156869,-0.012952584104550136,,,,,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013,2013-06-30,3827.301889,-0.007482833551707424,-0.020338495625338626,,,,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013,2013-09-30,3869.593123,0.011049881934202421,0.0034843639552155636,-0.009513351666515457,,,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2013,2013-12-31,3872.317333,0.000704004248872403,0.011761665346906147,0.004190821211117024,-0.008816044857637206,,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014,2014-03-31,4066.897669,0.05024906774601878,0.050988447552086535,0.06260174581174782,0.0546504738160849,0.040990024853078344,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014,2014-06-30,4077.607183,0.0026333374654674557,0.053014727964186825,0.05375605480679879,0.06539993479986506,0.05742772442175781,0.043731302886701906,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014,2014-09-30,4071.107183,-0.001594072137968361,0.0010350675976156243,0.051336146525468696,0.0520762916396158,0.06370161044800726,0.05574210834834181,0.042067519897244665,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015,2014-12-31,4250.849404,0.04415069732149557,0.04248624578705518,0.04523146387532084,0.09775337051386224,0.09852619355091807,0.11066477829128463,0.10235385862358704,0.08807552755678949
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015,2015-03-31,4087.699593,-0.038380520101812476,0.004075650493626348,0.002475081474762053,0.005114936665007175,0.055621025210022434,0.05636418689696954,0.06803688644170092,0.060044944193373695
